"","proteinId","...1.x","ecNum","definition","pathway","gotermID","gotermType","goAcc","kogID","kogdefine","kogClass","iprId","iprDesc","...1.y","Feature","Record.Id","Function","GeneID"
"890",72690,792,NA,NA,NA,"3433, 3827, 15148","Rab GTPase activator activity, intracellular, regulation of Rab GTPase activity","GO:0005097, GO:0005622, GO:0032313","KOG2058","Ypt/Rab GTPase activating protein","Intracellular trafficking, secretion, and vesicular transport","IPR000195, IPR000195, IPR000195, IPR000195","Rab-GTPase-TBC domain, Rab-GTPase-TBC domain, Rab-GTPase-TBC domain, Rab-GTPase-TBC domain",2478,"RDEBS19375","RDEBS19375",NA,"jgi.p|Debsub1|72690"
"891",72782,793,NA,NA,NA,NA,NA,NA,"KOG4821","Predicted Na+-dependent cotransporter","General function prediction only","IPR016833","Putative sodium bile acid cotransporter",2445,"RDEBS18990","RDEBS18990","Transporter, Sodium/bile acid symporter family","jgi.p|Debsub1|72782"
"892",72820,794,NA,NA,NA,"5876","steroid metabolic process","GO:0008202","KOG2210","Oxysterol-binding protein","Signal transduction mechanisms","IPR000648, IPR018494, \N","Oxysterol-binding protein, Oxysterol-binding protein, conserved site, \N",2385,"RDEBS19182","RDEBS19182","Oxysterol-binding protein","jgi.p|Debsub1|72820"
"893",72931,795,"4.4.1.17","Holocytochrome-c synthase.","Porphyrin and chlorophyll metabolism","2806, 3931","holocytochrome-c synthase activity, mitochondrion","GO:0004408, GO:0005739","KOG3996","Holocytochrome c synthase/heme-lyase","Energy production and conversion , Posttranslational modification, protein turnover, chaperones","IPR000511, IPR000511, IPR000511","Cytochrome c/c1 haem-lyase, Cytochrome c/c1 haem-lyase, Cytochrome c/c1 haem-lyase",2339,"RDEBS20159","RDEBS20159",NA,"jgi.p|Debsub1|72931"
"894",72935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2245,"RDEBS20276","RDEBS20276","Hypothetical protein","jgi.p|Debsub1|72935"
"895",72937,796,NA,NA,NA,"3043, 3736, 4602, 3045, 3046, 3047, 3048, 3049, 3050, 3051, 3057, 3061, 3062, 3063, 3065, 3067, 3068, 3070, 3071, 3072, 3074, 3076, 3077, 3084, 6004, 6005, 6015, 6196, 10102, 10103, 11472, 12154, 17037","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase activity, 3-phosphoinositide-dependent protein kinase activity, DNA-dependent protein kinase activity, AMP-activated protein kinase activity, casein kinase activity, casein kinase I activity, cyclic nucleotide-dependent protein kinase activity, eukaryotic translation initiation factor 2alpha kinase activity, galactosyltransferase-associated kinase activity, glycogen synthase kinase 3 activity, calcium-dependent protein kinase C activity, atypical protein kinase C activity, receptor signaling protein serine/threonine kinase activity, NF-kappaB-inducing kinase activity, JUN kinase activity, JUN kinase kinase kinase activity, MAP kinase kinase activity, MAP/ERK kinase kinase activity, ribosomal protein S6 kinase activity, Janus kinase activity, MAP kinase 1 activity, MP kinase activity, MAP kinase kinase kinase kinase activity, JUN kinase kinase activity, MAP kinase 2 activity, SAP kinase activity, transmembrane receptor protein kinase activity, cyclin-dependent protein kinase activating kinase activity, GTP-dependent protein kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004675, GO:0004676, GO:0004677, GO:0004679, GO:0004680, GO:0004681, GO:0004690, GO:0004694, GO:0004695, GO:0004696, GO:0004698, GO:0004700, GO:0004702, GO:0004704, GO:0004705, GO:0004706, GO:0004708, GO:0004710, GO:0004711, GO:0004718, GO:0008338, GO:0008339, GO:0008349, GO:0008545, GO:0016908, GO:0016909, GO:0019199, GO:0019912, GO:0034211","KOG0598","Ribosomal protein S6 kinase and related proteins","General function prediction only , Signal transduction mechanisms","IPR000719, IPR008271, IPR000719, IPR000961, IPR000961, IPR002290, IPR011009","Protein kinase domain, Serine/threonine-protein kinase, active site, Protein kinase domain, AGC-kinase, C-terminal, AGC-kinase, C-terminal, Serine/threonine/dual specificity protein kinase, catalytic  domain, Protein kinase-like domain",2239,"RDEBS20308","RDEBS20308","Serine/threonine protein kinase (EC 2.7.-.-)","jgi.p|Debsub1|72937"
"896",72977,797,NA,NA,NA,NA,NA,NA,"KOG0653","Cyclin B and related kinase-activating proteins","Cell cycle control, cell division, chromosome partitioning","IPR006671, IPR006671, IPR013763, IPR013763","Cyclin, N-terminal, Cyclin, N-terminal, Cyclin-like, Cyclin-like",2347,"RDEBS20113","RDEBS20113",NA,"jgi.p|Debsub1|72977"
"897",72979,798,NA,NA,NA,NA,NA,NA,"KOG2508","Predicted phospholipase","Lipid transport and metabolism","\N, IPR003347, \N","\N, JmjC domain, \N",2256,"RDEBS20067","RDEBS20067","Hypothetical protein","jgi.p|Debsub1|72979"
"898",72982,799,"1.5.5.1","Electron-transferring-flavoprotein dehydrogenase.","\N","2612, 4283","electron-transferring-flavoprotein dehydrogenase activity, electron transport","GO:0004174, GO:0006118","KOG2415","Electron transfer flavoprotein ubiquinone oxidoreductase","Energy production and conversion","IPR007859, IPR017896, \N, \N, \N","Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S ferredoxin-type, iron-sulphur binding domain, \N, \N, \N",2272,"RDEBS19972","RDEBS19972","Electron transfer flavoprotein-ubiquinone oxidoreductase (EC 1.5.5.1)","jgi.p|Debsub1|72982"
"899",72985,800,NA,NA,NA,NA,NA,NA,"KOG2667","COPII vesicle protein","Intracellular trafficking, secretion, and vesicular transport","IPR012936, \N","Endoplasmic reticulum vesicle transporter, C-terminal, \N",2303,"RDEBS19867","RDEBS19867","ER vesicle protein ERV46","jgi.p|Debsub1|72985"
"900",73045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2268,"RDEBS19992","RDEBS19992","GDS1 protein","jgi.p|Debsub1|73045"
"901",73457,801,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPR002589, IPR002589, IPR002589","Macro domain, Macro domain, Macro domain",2242,"RDEBS20292","RDEBS20292","Hypothetical cytosolic protein","jgi.p|Debsub1|73457"
"902",73570,802,NA,NA,NA,NA,NA,NA,"KOG4548","Mitochondrial ribosomal protein L17","Translation, ribosomal structure and biogenesis",NA,NA,2465,"RDEBS19855","RDEBS19855",NA,"jgi.p|Debsub1|73570"
"903",73667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2396,"RDEBS19776","RDEBS19776","Hypothetical protein","jgi.p|Debsub1|73667"
"904",73915,803,NA,NA,NA,NA,NA,NA,"KOG1471","Phosphatidylinositol transfer protein SEC14 and related proteins","Lipid transport and metabolism",NA,NA,2222,"RDEBS20763","RDEBS20763","SEC14-like protein","jgi.p|Debsub1|73915"
"905",73920,804,NA,NA,NA,"9320","membrane","GO:0016020",NA,NA,NA,NA,NA,2199,"RDEBS20953","RDEBS20953","Plasma membrane iron permease","jgi.p|Debsub1|73920"
"906",73972,805,NA,NA,NA,NA,NA,NA,"KOG0322","G-protein beta subunit-like protein GNB1L, contains WD repeats","General function prediction only",NA,NA,2204,"RDEBS20925","RDEBS20925",NA,"jgi.p|Debsub1|73972"
"907",73982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2120,"RDEBS20573","RDEBS20573",NA,"jgi.p|Debsub1|73982"
"908",74105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2057,"RDEBS21400","RDEBS21400",NA,"jgi.p|Debsub1|74105"
"909",74128,806,"2.1.1.127","[Ribulose-bisphosphate-carboxylase]-lysine N-methyltransferase.","\N","3838, 13635","nucleus, [ribulose-bisphosphate carboxylase]-lysine N-methyltransferase activity","GO:0005634, GO:0030785","KOG1338","Uncharacterized conserved protein","Function unknown",NA,NA,2012,"RDEBS21620","RDEBS21620","Hypothetical protein","jgi.p|Debsub1|74128"
"910",74131,807,NA,NA,NA,"3043, 3736, 4602, 3045, 3046, 3047, 3048, 3049, 3050, 3051, 3057, 3061, 3062, 3063, 3065, 3067, 3068, 3070, 3071, 3072, 3074, 3076, 3077, 3084, 6004, 6005, 6015, 6196, 10102, 10103, 11472, 12154, 17037","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase activity, 3-phosphoinositide-dependent protein kinase activity, DNA-dependent protein kinase activity, AMP-activated protein kinase activity, casein kinase activity, casein kinase I activity, cyclic nucleotide-dependent protein kinase activity, eukaryotic translation initiation factor 2alpha kinase activity, galactosyltransferase-associated kinase activity, glycogen synthase kinase 3 activity, calcium-dependent protein kinase C activity, atypical protein kinase C activity, receptor signaling protein serine/threonine kinase activity, NF-kappaB-inducing kinase activity, JUN kinase activity, JUN kinase kinase kinase activity, MAP kinase kinase activity, MAP/ERK kinase kinase activity, ribosomal protein S6 kinase activity, Janus kinase activity, MAP kinase 1 activity, MP kinase activity, MAP kinase kinase kinase kinase activity, JUN kinase kinase activity, MAP kinase 2 activity, SAP kinase activity, transmembrane receptor protein kinase activity, cyclin-dependent protein kinase activating kinase activity, GTP-dependent protein kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004675, GO:0004676, GO:0004677, GO:0004679, GO:0004680, GO:0004681, GO:0004690, GO:0004694, GO:0004695, GO:0004696, GO:0004698, GO:0004700, GO:0004702, GO:0004704, GO:0004705, GO:0004706, GO:0004708, GO:0004710, GO:0004711, GO:0004718, GO:0008338, GO:0008339, GO:0008349, GO:0008545, GO:0016908, GO:0016909, GO:0019199, GO:0019912, GO:0034211","KOG0586","Serine/threonine protein kinase","General function prediction only",NA,NA,2027,"RDEBS21529","RDEBS21529","Serine/threonine protein kinase (EC 2.7.11.1)","jgi.p|Debsub1|74131"
"911",74141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,"RDEBS21548","RDEBS21548","Bud neck protein YOL070C","jgi.p|Debsub1|74141"
"912",74157,808,NA,NA,NA,"3727","protein binding","GO:0005515",NA,NA,NA,NA,NA,2032,"RDEBS21499","RDEBS21499",NA,"jgi.p|Debsub1|74157"
"913",74283,809,"2.1.1.79","Cyclopropane-fatty-acyl-phospholipid synthase.","\N","6248, 6444","lipid biosynthetic process, cyclopropane-fatty-acyl-phospholipid synthase activity","GO:0008610, GO:0008825","KOG1269","SAM-dependent methyltransferases","Lipid transport and metabolism , General function prediction only",NA,NA,1960,"RDEBS22301","RDEBS22301","Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)","jgi.p|Debsub1|74283"
"914",74426,810,NA,NA,NA,NA,NA,NA,"KOG0227","Splicing factor 3a, subunit 2","RNA processing and modification",NA,NA,1865,"RDEBS22425","RDEBS22425","Pre-mRNA splicing factor PRP11","jgi.p|Debsub1|74426"
"915",74430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1847,"RDEBS22521","RDEBS22521","Hypothetical protein","jgi.p|Debsub1|74430"
"916",74440,811,NA,NA,NA,"3838","nucleus","GO:0005634","KOG3073","Protein required for 18S rRNA maturation and 40S ribosome biogenesis","Translation, ribosomal structure and biogenesis",NA,NA,1797,"RDEBS22888","RDEBS22888",NA,"jgi.p|Debsub1|74440"
"917",74441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1795,"RDEBS22900","RDEBS22900","Hypothetical protein","jgi.p|Debsub1|74441"
"918",74442,812,NA,NA,NA,"3043, 3736, 4602, 3045, 3046, 3047, 3048, 3049, 3050, 3051, 3057, 3061, 3062, 3063, 3065, 3067, 3068, 3070, 3071, 3072, 3074, 3076, 3077, 3084, 6004, 6005, 6015, 6196, 10102, 10103, 11472, 12154, 17037","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, transmembrane receptor protein serine/threonine kinase activity, 3-phosphoinositide-dependent protein kinase activity, DNA-dependent protein kinase activity, AMP-activated protein kinase activity, casein kinase activity, casein kinase I activity, cyclic nucleotide-dependent protein kinase activity, eukaryotic translation initiation factor 2alpha kinase activity, galactosyltransferase-associated kinase activity, glycogen synthase kinase 3 activity, calcium-dependent protein kinase C activity, atypical protein kinase C activity, receptor signaling protein serine/threonine kinase activity, NF-kappaB-inducing kinase activity, JUN kinase activity, JUN kinase kinase kinase activity, MAP kinase kinase activity, MAP/ERK kinase kinase activity, ribosomal protein S6 kinase activity, Janus kinase activity, MAP kinase 1 activity, MP kinase activity, MAP kinase kinase kinase kinase activity, JUN kinase kinase activity, MAP kinase 2 activity, SAP kinase activity, transmembrane receptor protein kinase activity, cyclin-dependent protein kinase activating kinase activity, GTP-dependent protein kinase activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004675, GO:0004676, GO:0004677, GO:0004679, GO:0004680, GO:0004681, GO:0004690, GO:0004694, GO:0004695, GO:0004696, GO:0004698, GO:0004700, GO:0004702, GO:0004704, GO:0004705, GO:0004706, GO:0004708, GO:0004710, GO:0004711, GO:0004718, GO:0008338, GO:0008339, GO:0008349, GO:0008545, GO:0016908, GO:0016909, GO:0019199, GO:0019912, GO:0034211","KOG0588","Serine/threonine protein kinase","Cell cycle control, cell division, chromosome partitioning",NA,NA,1779,"RDEBS22930","RDEBS22930","Serine/threonine-protein kinase GIN4 (EC 2.7.1.-)","jgi.p|Debsub1|74442"
"919",74457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1843,"RDEBS22557","RDEBS22557","Bud neck localization protein SKG3","jgi.p|Debsub1|74457"
"920",74645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1877,"RDEBS22776","RDEBS22776",NA,"jgi.p|Debsub1|74645"
"921",74675,813,NA,NA,NA,"2290, 9320","catalytic activity, membrane","GO:0003824, GO:0016020","KOG3030","Lipid phosphate phosphatase and related enzymes of the PAP2 family","Lipid transport and metabolism",NA,NA,1828,"RDEBS22646","RDEBS22646",NA,"jgi.p|Debsub1|74675"
"922",74830,814,NA,NA,NA,"2246, 9342, 10211, 12936, 3708","actin binding, cellular component organization and biogenesis, Rho GTPase binding, actin cytoskeleton organization and biogenesis, binding","GO:0003779, GO:0016043, GO:0017048, GO:0030036, GO:0005488","KOG1922","Rho GTPase effector BNI1 and related formins","Signal transduction mechanisms , Cytoskeleton",NA,NA,1681,"RDEBS23334","RDEBS23334","BNI1 protein","jgi.p|Debsub1|74830"
"923",74840,815,NA,NA,NA,"3708","binding","GO:0005488","KOG1848","Uncharacterized conserved protein","Function unknown",NA,NA,1665,"RDEBS23807","RDEBS23807","Hypothetical membrane spanning protein","jgi.p|Debsub1|74840"
"924",74888,816,NA,NA,NA,NA,NA,NA,"KOG4324","Guanine nucleotide exchange factor","Intracellular trafficking, secretion, and vesicular transport",NA,NA,1789,"RDEBS23289","RDEBS23289","Protein transport protein SEC2","jgi.p|Debsub1|74888"
"925",74994,817,NA,NA,NA,"3614, 4934, 9321, 3546, 4927, 9320","inorganic phosphate transmembrane transporter activity, phosphate transport, integral to membrane, transporter activity, transport, membrane","GO:0005315, GO:0006817, GO:0016021, GO:0005215, GO:0006810, GO:0016020","KOG0252","Inorganic phosphate transporter","Inorganic ion transport and metabolism",NA,NA,1697,"RDEBS23190","RDEBS23190","Phosphate transporter","jgi.p|Debsub1|74994"
"926",75836,818,NA,NA,NA,"2175, 3827, 5939","nucleic acid binding, intracellular, zinc ion binding","GO:0003676, GO:0005622, GO:0008270",NA,NA,NA,NA,NA,1514,"RDEBS24261","RDEBS24261","19S/PA700 proteasome regulatory particle subunit Rpn4p","jgi.p|Debsub1|75836"
"927",75935,819,NA,NA,NA,"3043, 3736, 4602, 3045, 3052","protein kinase activity, ATP binding, protein amino acid phosphorylation, protein serine/threonine kinase activity, protein kinase CK2 activity","GO:0004672, GO:0005524, GO:0006468, GO:0004674, GO:0004682","KOG0583","Serine/threonine protein kinase","Signal transduction mechanisms",NA,NA,1465,"RDEBS24564","RDEBS24564","Carbon catabolite derepressing ser/thr protein kinase (EC 2.7.11.31)","jgi.p|Debsub1|75935"
"928",75936,820,NA,NA,NA,"4542","mRNA processing","GO:0006397","KOG2146","Splicing coactivator SRm160/300, subunit SRm160 (contains PWI domain)","RNA processing and modification  , General function prediction only",NA,NA,1468,"RDEBS24546","RDEBS24546",NA,"jgi.p|Debsub1|75936"
"929",75961,821,NA,NA,NA,NA,NA,NA,"KOG0254","Predicted transporter (major facilitator superfamily)","General function prediction only",NA,NA,1491,"RDEBS24463","RDEBS24463",NA,"jgi.p|Debsub1|75961"
"930",75970,822,NA,NA,NA,NA,NA,NA,"KOG1901","Uncharacterized high-glucose-regulated protein","General function prediction only",NA,NA,1470,"RDEBS24534","RDEBS24534",NA,"jgi.p|Debsub1|75970"
"931",75978,823,NA,NA,NA,NA,NA,NA,"KOG2103","Uncharacterized conserved protein","Function unknown",NA,NA,1538,"RDEBS24678","RDEBS24678","Hypothetical protein","jgi.p|Debsub1|75978"
"932",76103,824,"3.5.1.-","In linear amides.","Nicotinate and nicotinamide metabolism","2176, 3875, 4492, 4504, 4609, 5939, 10293, 24535, 2805, 6078, 6380, 11049, 11050, 19211, 19212, 19328, 21832","DNA binding, chromatin silencing complex, chromatin silencing, regulation of transcription, DNA-dependent, protein amino acid deacetylation, zinc ion binding, NAD-dependent histone deacetylase activity, NAD binding, histone deacetylase activity, protein N-terminal asparagine amidohydrolase activity, UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity, iprodione amidohydrolase activity, (3,5-dichlorophenylurea)acetate amidohydrolase activity, N2-acetyl-L-lysine deacetylase activity, O-succinylbenzoate synthase activity, indoleacetamide hydrolase activity, N-acetylgalactosamine-6-phosphate deacetylase activity","GO:0003677, GO:0005677, GO:0006342, GO:0006355, GO:0006476, GO:0008270, GO:0017136, GO:0051287, GO:0004407, GO:0008418, GO:0008759, GO:0018748, GO:0018749, GO:0043747, GO:0043748, GO:0043864, GO:0047419","KOG2684","Sirtuin 5 and related class III sirtuins (SIR2 family)","Chromatin structure and dynamics , Transcription",NA,NA,1459,"RDEBS24598","RDEBS24598","Tripeptidyl-peptidase I precursor (EC 3.4.14.9)","jgi.p|Debsub1|76103"
"933",76165,825,NA,NA,NA,NA,NA,NA,"KOG1894","Uncharacterized conserved protein","Function unknown",NA,NA,1528,"RDEBS24739","RDEBS24739","Hypothetical protein","jgi.p|Debsub1|76165"
"934",76277,826,"2.7.7.13","Mannose-1-phosphate guanylyltransferase.","Fructose and mannose metabolism","6075, 6667, 9977, 2867","acyltransferase activity, biosynthetic process, nucleotidyltransferase activity, mannose-1-phosphate guanylyltransferase activity","GO:0008415, GO:0009058, GO:0016779, GO:0004475","KOG1460","GDP-mannose pyrophosphorylase","Carbohydrate transport and metabolism , Cell wall/membrane/envelope biogenesis , Posttranslational modification, protein turnover, chaperones",NA,NA,1324,"RDEBS25473","RDEBS25473","Glucose-1-phosphate adenylyltransferase (EC 2.7.7.27)","jgi.p|Debsub1|76277"
"935",76278,827,"3.1.-.-","Acting on ester bonds.","\N","2917, 3827, 2175, 2909, 18089, 19229","exonuclease activity, intracellular, nucleic acid binding, nuclease activity, phosphoric ester hydrolase activity, T/G mismatch-specific endonuclease activity","GO:0004527, GO:0005622, GO:0003676, GO:0004518, GO:0042578, GO:0043765","KOG2248","3'-5' exonuclease","Replication, recombination and repair",NA,NA,1331,"RDEBS25439","RDEBS25439","3'-5' EXONUCLEASE","jgi.p|Debsub1|76278"
"936",76281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1343,"RDEBS25383","RDEBS25383","Hypothetical membrane associated protein","jgi.p|Debsub1|76281"
"937",76282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1345,"RDEBS25371","RDEBS25371",NA,"jgi.p|Debsub1|76282"
"938",76298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1363,"RDEBS25303","RDEBS25303",NA,"jgi.p|Debsub1|76298"
"939",76354,828,NA,NA,NA,NA,NA,NA,"KOG0958","DNA damage-responsive repressor GIS1/RPH1, jumonji superfamily","Replication, recombination and repair",NA,NA,1276,"RDEBS25662","RDEBS25662","Zinc finger protein","jgi.p|Debsub1|76354"
"940",76359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1314,"RDEBS25543","RDEBS25543",NA,"jgi.p|Debsub1|76359"
"941",76386,829,NA,NA,NA,"2175, 3827, 5939","nucleic acid binding, intracellular, zinc ion binding","GO:0003676, GO:0005622, GO:0008270","KOG1721","FOG: Zn-finger","General function prediction only",NA,NA,1310,"RDEBS25573","RDEBS25573","Regulatory protein ADR1","jgi.p|Debsub1|76386"
"942",76457,830,"2.7.1.47","D-ribulokinase.","Pentose and glucuronate interconversions","11431","D-ribulokinase activity","GO:0019150","KOG2517","Ribulose kinase and related carbohydrate kinases","Carbohydrate transport and metabolism",NA,NA,1264,"RDEBS25761","RDEBS25761","D-ribulokinase (EC 2.7.1.47) / ribitol kinase (EC 2.7.1.-)","jgi.p|Debsub1|76457"
"943",76479,831,NA,NA,NA,"9321","integral to membrane","GO:0016021","KOG1278","Endosomal membrane proteins, EMP70","Intracellular trafficking, secretion, and vesicular transport",NA,NA,1240,"RDEBS25854","RDEBS25854","Endosomal P24A protein precursor","jgi.p|Debsub1|76479"
"944",76553,832,NA,NA,NA,"2196, 3838, 4504, 5939","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding","GO:0003700, GO:0005634, GO:0006355, GO:0008270",NA,NA,NA,NA,NA,1236,"RDEBS25878","RDEBS25878","Transcriptional regulator","jgi.p|Debsub1|76553"
"945",76578,833,NA,NA,NA,"3708","binding","GO:0005488","KOG2005","26S proteasome regulatory complex, subunit RPN1/PSMD2","Posttranslational modification, protein turnover, chaperones",NA,NA,1302,"RDEBS25998","RDEBS25998","19S/PA700 proteasome regulatory particle subunit Rpn1p/S1","jgi.p|Debsub1|76578"
"946",76579,834,NA,NA,NA,"9292, 9320, 9691, 21355, 21380","ATP synthesis coupled proton transport, membrane, proton-transporting two-sector ATPase complex, hydrogen ion transporting ATP synthase activity, rotational mechanism, hydrogen ion transporting ATPase activity, rotational mechanism","GO:0015986, GO:0016020, GO:0016469, GO:0046933, GO:0046961","KOG0233","Vacuolar H+-ATPase V0 sector, subunit c''","Energy production and conversion",NA,NA,1303,"RDEBS25992","RDEBS25992","Vacuolar ATP synthase proteolipid subunit (EC 3.6.3.14)","jgi.p|Debsub1|76579"
"947",76581,835,NA,NA,NA,"3574, 4930, 5761, 9320, 3727","voltage-gated potassium channel activity, potassium ion transport, voltage-gated potassium channel complex, membrane, protein binding","GO:0005249, GO:0006813, GO:0008076, GO:0016020, GO:0005515",NA,NA,NA,NA,NA,1225,"RDEBS25946","RDEBS25946","K+ channel tetramerisation domain","jgi.p|Debsub1|76581"
"948",76595,836,"2.5.1.22","Spermine synthase.","Urea cycle and metabolism of amino groups","2290, 9966","catalytic activity, spermine synthase activity","GO:0003824, GO:0016768","KOG1562","Spermidine synthase","Amino acid transport and metabolism",NA,NA,1220,"RDEBS26098","RDEBS26098","Spermidine synthase (EC 2.5.1.16)","jgi.p|Debsub1|76595"
"949",76607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211,"RDEBS26155","RDEBS26155","Phosphatase interacting protein","jgi.p|Debsub1|76607"
"950",76622,837,NA,NA,NA,"392, 3878","nuclear mRNA splicing, via spliceosome, spliceosome","GO:0000398, GO:0005681","KOG3228","Uncharacterized conserved protein","Function unknown",NA,NA,1193,"RDEBS26206","RDEBS26206",NA,"jgi.p|Debsub1|76622"
"951",76640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1126,"RDEBS26450","RDEBS26450","Bud determination protein RAX2","jgi.p|Debsub1|76640"
"952",76654,838,NA,NA,NA,"9292, 9691, 21355, 21380","ATP synthesis coupled proton transport, proton-transporting two-sector ATPase complex, hydrogen ion transporting ATP synthase activity, rotational mechanism, hydrogen ion transporting ATPase activity, rotational mechanism","GO:0015986, GO:0016469, GO:0046933, GO:0046961","KOG4103","Mitochondrial F1F0-ATP synthase, subunit g/ATP20","Energy production and conversion",NA,NA,1180,"RDEBS26285","RDEBS26285","ATP synthase G chain (EC 3.6.3.14)","jgi.p|Debsub1|76654"
"953",76659,839,NA,NA,NA,"2176, 3736, 4429, 5778","DNA binding, ATP binding, DNA replication initiation, DNA-dependent ATPase activity","GO:0003677, GO:0005524, GO:0006270, GO:0008094","KOG0478","DNA replication licensing factor, MCM4 component","Replication, recombination and repair",NA,NA,1174,"RDEBS26362","RDEBS26362","DNA replication licensing factor MCM4/CDC54/CDC21 Family","jgi.p|Debsub1|76659"
"954",76668,840,NA,NA,NA,NA,NA,NA,"KOG1938","Protein with predicted involvement in meiosis (GSG1)","Cell cycle control, cell division, chromosome partitioning",NA,NA,1163,"RDEBS26421","RDEBS26421","Sporulation protein GSG1","jgi.p|Debsub1|76668"
"955",76672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,"RDEBS26338","RDEBS26338",NA,"jgi.p|Debsub1|76672"
"956",76691,841,NA,NA,NA,"2175, 2792, 3736, 5716","nucleic acid binding, helicase activity, ATP binding, ATP-dependent helicase activity","GO:0003676, GO:0004386, GO:0005524, GO:0008026","KOG0344","ATP-dependent RNA helicase","RNA processing and modification",NA,NA,1183,"RDEBS26266","RDEBS26266","RNA helicase  (EC 3.6.4.13)","jgi.p|Debsub1|76691"
"957",76725,842,NA,NA,NA,"4037, 12940","cytoskeleton, actin filament polymerization","GO:0005856, GO:0030041","KOG1876","Actin-related protein Arp2/3 complex, subunit ARPC4","Cytoskeleton",NA,NA,1201,"RDEBS26604","RDEBS26604","ACTIN-RELATED ARP2/3 COMPLEX COMPONENT","jgi.p|Debsub1|76725"
"958",76727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1105,"RDEBS26644","RDEBS26644",NA,"jgi.p|Debsub1|76727"
"959",76728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,"RDEBS26656","RDEBS26656",NA,"jgi.p|Debsub1|76728"
"960",76738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1079,"RDEBS26780","RDEBS26780",NA,"jgi.p|Debsub1|76738"
"961",76972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1090,"RDEBS26718","RDEBS26718","ThiJ/PfpI family protein","jgi.p|Debsub1|76972"
"962",76980,843,NA,NA,NA,"2196, 3838, 4504, 5939, 2176, 4499","transcription factor activity, nucleus, regulation of transcription, DNA-dependent, zinc ion binding, DNA binding, transcription","GO:0003700, GO:0005634, GO:0006355, GO:0008270, GO:0003677, GO:0006350",NA,NA,NA,NA,NA,1110,"RDEBS26611","RDEBS26611","2,2-dialkylglycine decarboxylase (EC 4.1.1.64)","jgi.p|Debsub1|76980"
"963",77145,844,NA,NA,NA,NA,NA,NA,"KOG3823","Uncharacterized conserved protein","Function unknown",NA,NA,1070,"RDEBS27012","RDEBS27012",NA,"jgi.p|Debsub1|77145"
"964",77150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1057,"RDEBS27080","RDEBS27080",NA,"jgi.p|Debsub1|77150"
"965",77158,845,NA,NA,NA,"4513, 14875","rRNA processing, small subunit processome","GO:0006364, GO:0032040","KOG0319","WD40-repeat-containing subunit of the 18S rRNA processing complex","RNA processing and modification",NA,NA,1036,"RDEBS27178","RDEBS27178","tRNA (m(7)G46) methyltransferase subunit 2 (EC 2.1.1.33)","jgi.p|Debsub1|77158"
