"Feature","Record Id","Function","Aliases","Cont R1","Cont R2","Cont R3","Low FE R1","Low FE R2","Low FE R3","Low N R1","Low N R2","Low N R3","Salt R1","Salt R2","Salt R3"
"RDEBH01566","jgi.p|Debha1|1394","Low-affinity zinc transport protein","., jgi.p|Debha1|1394, mRNA_1394, prediction","63","90","59","88","113","45","31","40","32","45","12","15"
"RDEBH01586","jgi.p|Debha1|1395","Phenazine biosynthesis protein PhzF","., jgi.p|Debha1|1395, mRNA_1395, prediction","1337","1975","1307","1852","1811","818","733","1101","778","1855","609","884"
"RDEBH01594","jgi.p|Debha1|1396","Nuclear fusion protein BIK1","., jgi.p|Debha1|1396, mRNA_1396, prediction","113","104","75","87","92","36","51","100","19","215","125","109"
"RDEBH01622","jgi.p|Debha1|1397","","., jgi.p|Debha1|1397, mRNA_1397, prediction","87","113","69","57","65","41","43","73","38","587","264","283"
"RDEBH01689","jgi.p|Debha1|1398","","0, gene_1398, jgi.p|Debha1|1398, prediction","295","844","432","548","578","280","214","474","338","1415","321","638"
"RDEBH01711","jgi.p|Debha1|1399","","., jgi.p|Debha1|1399, mRNA_1399, prediction","116","156","168","117","148","56","138","135","45","156","55","66"
"RDEBH00367","jgi.p|Debha1|14","","., jgi.p|Debha1|14, mRNA_14, prediction","1","0","0","2","1","0","0","0","3","20","13","5"
"RDEBH03895","jgi.p|Debha1|140","Aspartic proteinase (EC 3.4.23.41)","., jgi.p|Debha1|140, mRNA_140, prediction","644","1472","662","808","851","369","341","611","436","28474","6195","11780"
"RDEBH01715","jgi.p|Debha1|1400","","., jgi.p|Debha1|1400, mRNA_1400, prediction","116","131","103","98","91","47","45","100","43","649","203","208"
"RDEBH01745","jgi.p|Debha1|1401","Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)","., jgi.p|Debha1|1401, mRNA_1401, prediction","2939","7866","2976","7821","7723","3664","1914","4149","3251","5785","1352","2858"
"RDEBH01777","jgi.p|Debha1|1402","Plasma membrane proteolipid 3","., jgi.p|Debha1|1402, mRNA_1402, prediction","9151","6203","9882","4456","5266","2139","4981","7124","1244","7200","6690","3827"
"RDEBH01781","jgi.p|Debha1|1403","Dihydrolipoamide dehydrogenase (EC 1.8.1.4)","., jgi.p|Debha1|1403, mRNA_1403, prediction","9759","29436","10155","23777","24794","11915","6190","16292","10108","53717","14264","24637"
"RDEBH01825","jgi.p|Debha1|1404","","., jgi.p|Debha1|1404, mRNA_1404, prediction","264","262","250","177","197","118","115","205","74","1036","288","459"
"RDEBH01833","jgi.p|Debha1|1405","SIR2 family protein","., jgi.p|Debha1|1405, mRNA_1405, prediction","228","490","251","349","410","199","162","242","178","558","171","261"
"RDEBH01853","jgi.p|Debha1|1406","Chromatin structure remodeling complex protein RSC1","., jgi.p|Debha1|1406, mRNA_1406, prediction","299","427","272","341","294","165","141","267","108","1685","432","599"
"RDEBH01911","jgi.p|Debha1|1407","","., jgi.p|Debha1|1407, mRNA_1407, prediction","797","2361","716","1287","1658","765","379","1090","1136","1749","414","787"
"RDEBH01944","jgi.p|Debha1|1408","Vesicular transport protein BOS1","., jgi.p|Debha1|1408, mRNA_1408, prediction","80","141","71","114","131","63","47","84","55","533","87","206"
"RDEBH01952","jgi.p|Debha1|1409","Hypothetical protein","., jgi.p|Debha1|1409, mRNA_1409, prediction","415","607","406","501","506","230","288","295","228","711","419","341"
"RDEBH03923","jgi.p|Debha1|141","Hypothetical protein","., jgi.p|Debha1|141, mRNA_141, prediction","123","125","123","151","133","59","91","136","40","898","251","415"
"RDEBH01968","jgi.p|Debha1|1410","Hypothetical protein","., jgi.p|Debha1|1410, mRNA_1410, prediction","118","171","130","100","97","51","55","67","53","380","113","139"
"RDEBH02000","jgi.p|Debha1|1411","Phosphomannomutase (EC 5.4.2.8)","., jgi.p|Debha1|1411, mRNA_1411, prediction","5463","10940","5053","7078","7730","3352","3990","5063","3959","6532","3149","3031"
"RDEBH02061","jgi.p|Debha1|1412","","., jgi.p|Debha1|1412, mRNA_1412, prediction","39","67","61","101","89","29","41","52","31","271","58","100"
"RDEBH02097","jgi.p|Debha1|1413","Aldehyde dehydrogenase (EC 1.2.1.3)","., jgi.p|Debha1|1413, mRNA_1413, prediction","1949","4579","2039","2512","3284","1707","1151","2588","1646","2720","633","1192"
"RDEBH02137","jgi.p|Debha1|1414","(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)","., jgi.p|Debha1|1414, mRNA_1414, prediction","572","956","630","576","625","369","366","724","301","217","102","109"
"RDEBH02149","jgi.p|Debha1|1415","Dihydrodipicolinate synthase (EC 4.2.1.52)","., jgi.p|Debha1|1415, mRNA_1415, prediction","154","140","133","107","131","59","80","177","59","195","91","88"
"RDEBH02169","jgi.p|Debha1|1416","N amino acid transport system protein","., jgi.p|Debha1|1416, mRNA_1416, prediction","29","73","24","42","36","18","17","51","20","18","10","20"
"RDEBH02207","jgi.p|Debha1|1417","Putative peptide transporter","., jgi.p|Debha1|1417, mRNA_1417, prediction","148","232","135","264","279","142","65","154","95","497","97","171"
"RDEBH02243","jgi.p|Debha1|1418","Pyrimidine pathway regulatory protein 1","., jgi.p|Debha1|1418, mRNA_1418, prediction","109","248","163","225","220","105","79","139","118","1146","140","418"
"RDEBH02330","jgi.p|Debha1|1419","","0, gene_1419, jgi.p|Debha1|1419, prediction","241","210","218","280","285","124","107","177","87","286","106","153"
"RDEBH03979","jgi.p|Debha1|142","Cation-dependent mannose-6-phosphate receptor precursor","., jgi.p|Debha1|142, mRNA_142, prediction","292","512","229","498","456","176","174","315","195","1816","529","891"
"RDEBH02355","jgi.p|Debha1|1420","","., jgi.p|Debha1|1420, mRNA_1420, prediction","8","39","10","24","17","15","2","13","15","410","72","129"
"RDEBH02363","jgi.p|Debha1|1421","","., jgi.p|Debha1|1421, mRNA_1421, prediction","21","23","22","5","13","2","15","10","6","17","15","18"
"RDEBH02371","jgi.p|Debha1|1422","LSU ribosomal protein L10AE","., jgi.p|Debha1|1422, mRNA_1422, prediction","42084","81128","38592","65956","69924","29498","29533","47271","26091","26047","9192","11914"
"RDEBH02387","jgi.p|Debha1|1423","Zinc finger protein","., jgi.p|Debha1|1423, mRNA_1423, prediction","3486","5039","4188","3982","4034","1849","2529","4231","1374","739","353","376"
"RDEBH02408","jgi.p|Debha1|1424","OTU-like cysteine protease","., jgi.p|Debha1|1424, mRNA_1424, prediction","202","250","151","223","255","92","101","198","83","768","193","331"
"RDEBH02420","jgi.p|Debha1|1425","","., jgi.p|Debha1|1425, mRNA_1425, prediction","697","1165","790","952","904","470","503","1047","425","1994","458","684"
"RDEBH02462","jgi.p|Debha1|1426","","., jgi.p|Debha1|1426, mRNA_1426, prediction","9","7","2","0","6","2","2","8","0","2","0","1"
"RDEBH02490","jgi.p|Debha1|1427","1,3-beta-glucan synthase component (EC 2.4.1.34)","., jgi.p|Debha1|1427, mRNA_1427, prediction","18878","23282","20067","14009","14583","7242","8541","18460","8001","52257","16800","23282"
"RDEBH02553","jgi.p|Debha1|1428","Hypothetical protein","0, gene_1428, jgi.p|Debha1|1428, prediction","453","846","473","646","576","274","247","422","373","929","309","421"
"RDEBH02571","jgi.p|Debha1|1429","Alpha-1,6-mannosyltransferase MNN11 (EC 2.4.1.-)","., jgi.p|Debha1|1429, mRNA_1429, prediction","141","226","139","124","168","77","74","104","119","1154","209","449"
"RDEBH04004","jgi.p|Debha1|143","Coatomer gamma subunit","., jgi.p|Debha1|143, mRNA_143, prediction","747","543","710","460","441","219","303","495","173","1680","872","708"
"RDEBH02592","jgi.p|Debha1|1430","DNA cross-link repair protein PSO2/SNM1","., jgi.p|Debha1|1430, mRNA_1430, prediction","128","120","143","86","102","36","54","63","44","299","126","136"
"RDEBH02624","jgi.p|Debha1|1431","","., jgi.p|Debha1|1431, mRNA_1431, prediction","76","90","73","71","81","31","53","57","30","83","45","48"
"RDEBH02644","jgi.p|Debha1|1432","Hypothetical protein","., jgi.p|Debha1|1432, mRNA_1432, prediction","249","170","199","154","153","81","101","170","63","619","235","275"
"RDEBH02695","jgi.p|Debha1|1433","Hypothetical protein","., jgi.p|Debha1|1433, mRNA_1433, prediction","2258","3753","2395","2235","2591","1290","1372","2136","1260","1988","919","1121"
"RDEBH02718","jgi.p|Debha1|1434","LSU ribosomal protein L24P","0, gene_1434, jgi.p|Debha1|1434, prediction","79213","89071","84339","52086","70394","27480","57826","61665","25262","9688","8506","5201"
"RDEBH02742","jgi.p|Debha1|1435","Fructose-2,6-bisphosphatase (EC 3.1.3.46) / 6-phosphofructo-2-kinase (EC 2.7.1.105)","., jgi.p|Debha1|1435, mRNA_1435, prediction","341","517","470","547","557","283","245","429","298","2460","668","986"
"RDEBH02782","jgi.p|Debha1|1436","Stress induced protein YJL184W","., jgi.p|Debha1|1436, mRNA_1436, prediction","363","448","347","547","513","225","232","389","160","446","209","222"
"RDEBH02794","jgi.p|Debha1|1437","Prefoldin subunit 1","., jgi.p|Debha1|1437, mRNA_1437, prediction","401","295","427","128","131","63","122","175","121","142","54","64"
"RDEBH02808","jgi.p|Debha1|1438","Mitochondrial ATP synthase assembly protein ATP12","., jgi.p|Debha1|1438, mRNA_1438, prediction","309","491","356","390","345","133","235","266","196","675","205","223"
"RDEBH02824","jgi.p|Debha1|1439","Hypothetical protein","., jgi.p|Debha1|1439, mRNA_1439, prediction","50","47","50","49","33","31","32","47","12","191","87","99"
"RDEBH04045","jgi.p|Debha1|144","LSU ribosomal protein L36P","., jgi.p|Debha1|144, mRNA_144, prediction","4096","3943","4233","2430","2543","977","2375","3478","972","570","476","416"
"RDEBH02852","jgi.p|Debha1|1440","2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)","., jgi.p|Debha1|1440, mRNA_1440, prediction","3497","4822","3501","2573","3171","1603","2319","5871","1120","5978","2638","2699"
"RDEBH02864","jgi.p|Debha1|1441","ADP-ribosylation factor GTPase-activating protein GCS1","., jgi.p|Debha1|1441, mRNA_1441, prediction","490","802","513","809","855","403","361","522","352","2796","667","1132"
"RDEBH02884","jgi.p|Debha1|1442","Dolichyldiphosphatase (EC 3.6.1.43)","., jgi.p|Debha1|1442, mRNA_1442, prediction","314","538","313","364","360","158","131","210","188","412","108","183"
"RDEBH02904","jgi.p|Debha1|1443","Importin beta subunit","., jgi.p|Debha1|1443, mRNA_1443, prediction","796","1080","921","773","752","433","396","678","399","2112","565","902"
"RDEBH02945","jgi.p|Debha1|1444","Cell division control protein 11","., jgi.p|Debha1|1444, mRNA_1444, prediction","195","262","182","212","214","89","134","172","81","1474","477","536"
"RDEBH02989","jgi.p|Debha1|1445","Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)","., jgi.p|Debha1|1445, mRNA_1445, prediction","1649","1947","1683","1091","1258","611","894","1617","511","4591","2192","2830"
"RDEBH03006","jgi.p|Debha1|1446","","., jgi.p|Debha1|1446, mRNA_1446, prediction","27","70","48","41","58","27","19","31","43","586","107","178"
"RDEBH03030","jgi.p|Debha1|1447","Autophagy protein APG5","., jgi.p|Debha1|1447, mRNA_1447, prediction","156","149","168","113","125","66","72","98","56","360","160","158"
"RDEBH03042","jgi.p|Debha1|1448","Methyltransferase (EC 2.1.1.-)","., jgi.p|Debha1|1448, mRNA_1448, prediction","162","193","168","150","119","51","105","108","75","244","80","88"
"RDEBH03062","jgi.p|Debha1|1449","Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)","., jgi.p|Debha1|1449, mRNA_1449, prediction","91","118","130","98","112","44","48","54","78","456","130","168"
"RDEBH04053","jgi.p|Debha1|145","Hypothetical protein","., jgi.p|Debha1|145, mRNA_145, prediction","46","65","53","75","49","29","22","45","16","178","83","65"
"RDEBH03086","jgi.p|Debha1|1450","dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)","., jgi.p|Debha1|1450, mRNA_1450, prediction","38","31","39","30","30","6","16","36","13","73","37","22"
"RDEBH03112","jgi.p|Debha1|1451","","., jgi.p|Debha1|1451, mRNA_1451, prediction","614","450","602","365","399","141","229","361","119","437","200","235"
"RDEBH03132","jgi.p|Debha1|1452","Aldose 1-epimerase (EC 5.1.3.3) / UDP-glucose 4-epimerase (EC 5.1.3.2)","., jgi.p|Debha1|1452, mRNA_1452, prediction","90","140","111","132","115","49","45","104","35","748","214","334"
"RDEBH03172","jgi.p|Debha1|1453","Galactokinase (EC 2.7.1.6)","., jgi.p|Debha1|1453, mRNA_1453, prediction","127","123","80","148","101","50","52","85","48","890","192","293"
"RDEBH03192","jgi.p|Debha1|1454","Serine/threonine-protein kinase SKS1 (EC 2.7.1.-)","., jgi.p|Debha1|1454, mRNA_1454, prediction","47","56","28","57","42","27","19","50","35","984","220","253"
"RDEBH03220","jgi.p|Debha1|1455","High-affinity glucose transporter","., jgi.p|Debha1|1455, mRNA_1455, prediction","257","461","251","544","571","264","114","215","138","621","139","242"
"RDEBH03268","jgi.p|Debha1|1456","SODIUM EXPORT ATPASE (EC 3.6.3.7)","., jgi.p|Debha1|1456, mRNA_1456, prediction","7625","8976","8313","6448","7098","3376","3736","7417","2506","40015","14332","16542"
"RDEBH03296","jgi.p|Debha1|1457","MYG1 protein","., jgi.p|Debha1|1457, mRNA_1457, prediction","1628","3148","1606","2439","2568","1138","1022","1625","1373","689","208","274"
"RDEBH03312","jgi.p|Debha1|1458","","., jgi.p|Debha1|1458, mRNA_1458, prediction","639","1454","673","762","887","436","361","702","529","2049","433","895"
"RDEBH03348","jgi.p|Debha1|1459","DNA43 protein","., jgi.p|Debha1|1459, mRNA_1459, prediction","23","34","11","29","17","19","14","17","15","167","60","65"
"RDEBH04073","jgi.p|Debha1|146","PAB-dependent poly(A)-specific ribonuclease subunit PAN2 (EC 3.1.13.4)","., jgi.p|Debha1|146, mRNA_146, prediction","147","163","135","193","173","63","89","116","54","467","148","188"
"RDEBH03376","jgi.p|Debha1|1460","Tethering factor SEC34","., jgi.p|Debha1|1460, mRNA_1460, prediction","115","63","142","38","28","24","36","60","11","147","83","65"
"RDEBH03408","jgi.p|Debha1|1461","RNA polymerase II transcription factor B subunit 5","0, gene_1461, jgi.p|Debha1|1461, prediction","978","519","840","200","100","93","104","230","175","198","143","122"
"RDEBH03417","jgi.p|Debha1|1462","Clathrin heavy chain family protein","., jgi.p|Debha1|1462, mRNA_1462, prediction","52","54","95","37","26","14","27","39","9","219","75","74"
"RDEBH03463","jgi.p|Debha1|1463","Hypothetical WRY family protein","., jgi.p|Debha1|1463, mRNA_1463, prediction","555","774","615","666","619","321","337","485","303","960","238","380"
"RDEBH03483","jgi.p|Debha1|1464","Integral membrane protein","., jgi.p|Debha1|1464, mRNA_1464, prediction","4037","3261","4603","2046","2370","1089","1890","3745","835","2514","2017","1544"
"RDEBH03495","jgi.p|Debha1|1465","","., jgi.p|Debha1|1465, mRNA_1465, prediction","1354","1601","1169","1146","1290","504","933","1414","481","563","270","341"
"RDEBH03511","jgi.p|Debha1|1466","Transcription regulatory protein PDC2","., jgi.p|Debha1|1466, mRNA_1466, prediction","81","79","102","69","91","27","37","69","22","208","72","76"
"RDEBH03547","jgi.p|Debha1|1467","Phospholipase family protein","., jgi.p|Debha1|1467, mRNA_1467, prediction","495","883","420","751","665","371","308","408","442","2287","506","951"
"RDEBH03569","jgi.p|Debha1|1468","Protein phosphatase 2C (EC 3.1.3.16)","., jgi.p|Debha1|1468, mRNA_1468, prediction","379","788","425","536","606","280","229","325","350","2112","476","1035"
"RDEBH03593","jgi.p|Debha1|1469","Transporter","., jgi.p|Debha1|1469, mRNA_1469, prediction","342","340","389","374","351","173","174","292","143","725","224","320"
"RDEBH04122","jgi.p|Debha1|147","","., jgi.p|Debha1|147, mRNA_147, prediction","24","14","8","5","5","4","12","2","9","3","0","3"
"RDEBH03641","jgi.p|Debha1|1470","","., jgi.p|Debha1|1470, mRNA_1470, prediction","192","173","223","133","150","75","113","95","62","154","94","106"
"RDEBH03657","jgi.p|Debha1|1471","Homoserine O-acetyltransferase (EC 2.3.1.31)","., jgi.p|Debha1|1471, mRNA_1471, prediction","275","555","270","483","423","209","187","254","339","1689","320","690"
"RDEBH03677","jgi.p|Debha1|1472","","., jgi.p|Debha1|1472, mRNA_1472, prediction","925","911","899","439","385","208","365","386","328","440","274","240"
"RDEBH03701","jgi.p|Debha1|1473","Phospholipase D1 (EC 3.1.4.4)","., jgi.p|Debha1|1473, mRNA_1473, prediction","378","328","408","406","396","187","204","385","115","1025","376","462"
"RDEBH03778","jgi.p|Debha1|1474","","., jgi.p|Debha1|1474, mRNA_1474, prediction","154","182","126","191","204","79","89","109","78","525","174","242"
"RDEBH03782","jgi.p|Debha1|1475","GTP-binding protein","., jgi.p|Debha1|1475, mRNA_1475, prediction","53","43","34","39","30","12","15","45","10","171","66","85"
"RDEBH03815","jgi.p|Debha1|1476","snoRNP protein GAR1","., jgi.p|Debha1|1476, mRNA_1476, prediction","40764","37170","47299","24808","25826","12667","22391","50962","8600","5076","3457","3079"
"RDEBH03835","jgi.p|Debha1|1477","Hypothetical protein","., jgi.p|Debha1|1477, mRNA_1477, prediction","374","619","401","544","577","254","275","458","231","2811","787","1237"
"RDEBH03891","jgi.p|Debha1|1478","Sulfonate/alpha -Ketoglutarate Dioxygenase (EC 1.14.11.17)","., jgi.p|Debha1|1478, mRNA_1478, prediction","4365","11848","4277","8762","9824","4776","2899","4854","5086","2307","514","1193"
"RDEBH03935","jgi.p|Debha1|1479","","., jgi.p|Debha1|1479, mRNA_1479, prediction","5062","6385","5450","7290","8974","4114","3330","9031","1745","4487","1717","1985"
"RDEBH04142","jgi.p|Debha1|148","","., jgi.p|Debha1|148, mRNA_148, prediction","1235","1815","1223","2297","2708","1216","712","1400","578","2550","712","1340"
"RDEBH03947","jgi.p|Debha1|1480","Hypothetical protein","., jgi.p|Debha1|1480, mRNA_1480, prediction","2425","2909","2526","1980","2350","857","1889","1929","913","547","341","329"
"RDEBH03963","jgi.p|Debha1|1481","High-affinity methionine permease","., jgi.p|Debha1|1481, mRNA_1481, prediction","1137","2469","1374","2220","2100","982","611","1249","986","1627","339","725"
"RDEBH04017","jgi.p|Debha1|1482","SCP160 protein","., jgi.p|Debha1|1482, mRNA_1482, prediction","550","788","552","723","842","343","349","574","266","1668","488","729"
"RDEBH04069","jgi.p|Debha1|1483","M protein","., jgi.p|Debha1|1483, mRNA_1483, prediction","751","827","708","870","810","350","309","682","202","1879","802","943"
"RDEBH04137","jgi.p|Debha1|1484","Ubiquitin-conjugating enzyme (EC 6.3.2.19)","0, gene_1484, jgi.p|Debha1|1484, prediction","1865","2845","1983","2647","2731","1233","1074","2342","939","3201","1336","1630"
"RDEBH04165","jgi.p|Debha1|1485","","0, gene_1485, jgi.p|Debha1|1485, prediction","94","156","116","154","139","60","75","113","60","428","188","182"
"RDEBH04177","jgi.p|Debha1|1486","DBF4-dependent kinase, regulatory subunit DBF4 (EC 2.7.1.-)","0, gene_1486, jgi.p|Debha1|1486, prediction","181","161","189","130","130","58","85","153","53","495","156","234"
"RDEBH04207","jgi.p|Debha1|1487","Translation initiation factor IF-2, mitochondrial","., jgi.p|Debha1|1487, mRNA_1487, prediction","58","94","56","69","43","21","31","46","31","121","28","58"
"RDEBH04248","jgi.p|Debha1|1488","ZINC FINGER PROTEIN RP-8","., jgi.p|Debha1|1488, mRNA_1488, prediction","739","1736","697","1504","1408","768","471","997","660","2180","483","813"
"RDEBH04264","jgi.p|Debha1|1489","Threonine/Serine Exporter","., jgi.p|Debha1|1489, mRNA_1489, prediction","508","571","556","479","467","229","225","342","186","2913","716","1126"
"RDEBH04158","jgi.p|Debha1|149","RNA helicase (EC 3.6.4.13)","., jgi.p|Debha1|149, mRNA_149, prediction","402","705","554","549","600","281","305","675","240","583","149","303"
"RDEBH04323","jgi.p|Debha1|1490","Gamma-butyrobetaine,2-oxoglutarate dioxygenase (EC 1.14.11.1)","., jgi.p|Debha1|1490, mRNA_1490, prediction","82","70","79","54","69","25","43","83","28","260","104","80"
"RDEBH04339","jgi.p|Debha1|1491","Transcription initiation protein SPT6","., jgi.p|Debha1|1491, mRNA_1491, prediction","317","414","319","313","336","160","161","262","135","1378","423","598"
"RDEBH04384","jgi.p|Debha1|1492","","., jgi.p|Debha1|1492, mRNA_1492, prediction","23","40","51","31","50","20","24","29","16","264","84","94"
"RDEBH04404","jgi.p|Debha1|1493","Catechol O-methyltransferase (EC 2.1.1.6)","., jgi.p|Debha1|1493, mRNA_1493, prediction","2426","3542","2348","3347","3908","1736","1512","3073","1155","33793","12310","15592"
"RDEBH04428","jgi.p|Debha1|1494","UFE1 protein","., jgi.p|Debha1|1494, mRNA_1494, prediction","74","59","92","58","67","22","46","50","22","204","121","101"
"RDEBH04457","jgi.p|Debha1|1495","","., jgi.p|Debha1|1495, mRNA_1495, prediction","255","392","305","267","264","119","143","191","114","1117","346","450"
"RDEBH04494","jgi.p|Debha1|1496","Amidase (EC 3.5.1.4)","., jgi.p|Debha1|1496, mRNA_1496, prediction","71","67","63","251","268","122","47","45","35","1008","196","425"
"RDEBH04523","jgi.p|Debha1|1497","Alpha-1,3-mannosyltransferase (EC 2.4.1.-)","., jgi.p|Debha1|1497, mRNA_1497, prediction","17","41","36","34","39","17","23","23","9","148","37","78"
"RDEBH04568","jgi.p|Debha1|1498","","., jgi.p|Debha1|1498, mRNA_1498, prediction","3292","3135","4305","1462","2018","766","1692","2752","773","6530","5173","3811"
"RDEBH04612","jgi.p|Debha1|1499","Purine-cytosine permease","., jgi.p|Debha1|1499, mRNA_1499, prediction","803","1791","921","1528","1417","692","512","930","967","1674","481","743"
"RDEBH00384","jgi.p|Debha1|15","DNA-3-methyladenine glycosylase II (EC 3.2.2.21)","., jgi.p|Debha1|15, mRNA_15, prediction","14","11","15","17","17","9","9","14","3","93","39","47"
"RDEBH04186","jgi.p|Debha1|150","FAD-dependent oxidase of protein disulfide isomerase","., jgi.p|Debha1|150, mRNA_150, prediction","380","549","455","463","510","224","222","298","200","1419","314","601"
"RDEBH04645","jgi.p|Debha1|1500","Ubiquitination pathway protein, BUL1 family","., jgi.p|Debha1|1500, mRNA_1500, prediction","22","24","24","18","13","6","2","3","5","218","40","72"
"RDEBH04677","jgi.p|Debha1|1501","Ubiquitination pathway protein, BUL1 family","., jgi.p|Debha1|1501, mRNA_1501, prediction","204","234","231","204","241","119","77","156","49","573","218","229"
"RDEBH04717","jgi.p|Debha1|1502","","., jgi.p|Debha1|1502, mRNA_1502, prediction","27660","17128","26849","10260","11457","5211","12407","22577","3110","288592","253559","155906"
"RDEBH04742","jgi.p|Debha1|1503","Gluconate permease","., jgi.p|Debha1|1503, mRNA_1503, prediction","156","132","192","130","103","61","52","94","57","1651","447","590"
"RDEBH04757","jgi.p|Debha1|1504","Quinate 5-dehydrogenase (EC 1.1.1.24)","0, gene_1504, jgi.p|Debha1|1504, prediction","960","1702","1130","1455","1491","743","570","1326","555","2610","779","1024"
"RDEBH04773","jgi.p|Debha1|1505","Alpha-1,2-mannosyltransferase MNN2 (EC 2.4.1.-)","0, gene_1505, jgi.p|Debha1|1505, prediction","219","448","231","434","401","173","108","240","253","2763","536","1014"
"RDEBH04806","jgi.p|Debha1|1506","Transporter, MFS superfamily","., jgi.p|Debha1|1506, mRNA_1506, prediction","169","333","172","234","232","130","78","151","156","945","340","436"
"RDEBH04822","jgi.p|Debha1|1507","Carbon-nitrogen hydrolase family protein","., jgi.p|Debha1|1507, mRNA_1507, prediction","597","962","494","945","884","405","310","520","393","2492","790","974"
"RDEBH04839","jgi.p|Debha1|1508","Esterase/Lipase (EC 3.1.-.-)","., jgi.p|Debha1|1508, mRNA_1508, prediction","536","855","562","647","666","321","314","515","368","2563","680","1142"
"RDEBH04868","jgi.p|Debha1|1509","ATP-dependent permease","., jgi.p|Debha1|1509, mRNA_1509, prediction","142","142","146","129","136","54","62","95","42","425","119","171"
"RDEBH04223","jgi.p|Debha1|151","","., jgi.p|Debha1|151, mRNA_151, prediction","12044","20723","14379","10303","12312","6932","7207","16121","6071","57804","31540","29587"
"RDEBH04888","jgi.p|Debha1|1510","OSMOSENSOR PROTEIN SHO1","., jgi.p|Debha1|1510, mRNA_1510, prediction","1533","3177","1550","2514","2720","1217","848","1596","1177","4777","1234","2470"
"RDEBH04912","jgi.p|Debha1|1511","Alternative oxidase, mitochondrial precursor (EC 1.-.-.-)","0, gene_1511, jgi.p|Debha1|1511, prediction","4216","7303","5076","4525","4504","2068","2207","4069","1869","12045","3528","5909"
"RDEBH04939","jgi.p|Debha1|1512","VACUOLAR ACIDIC AMINO ACID EXPORTER AVT6","., jgi.p|Debha1|1512, mRNA_1512, prediction","1211","3095","1428","2328","2488","1259","651","1637","1055","3473","715","1663"
"RDEBH04963","jgi.p|Debha1|1513","","., jgi.p|Debha1|1513, mRNA_1513, prediction","46408","35006","51874","22225","26839","13771","27002","58970","7389","16464","15722","10945"
"RDEBH04992","jgi.p|Debha1|1514","Methionine aminopeptidase (EC 3.4.11.18)","., jgi.p|Debha1|1514, mRNA_1514, prediction","4813","10380","5220","7833","8969","4120","3221","8134","3362","10877","4093","5237"
"RDEBH05022","jgi.p|Debha1|1515","","., jgi.p|Debha1|1515, mRNA_1515, prediction","111","99","122","135","117","48","59","70","48","778","251","312"
"RDEBH05057","jgi.p|Debha1|1516","","., jgi.p|Debha1|1516, mRNA_1516, prediction","46","64","66","63","61","24","25","39","21","457","114","192"
"RDEBH05094","jgi.p|Debha1|1517","Hypothetical protein","., jgi.p|Debha1|1517, mRNA_1517, prediction","336","979","355","767","883","377","214","440","385","1517","277","689"
"RDEBH05126","jgi.p|Debha1|1518","Alpha-1,2-mannosyltransferase ALG11 (EC 2.4.1.131)","., jgi.p|Debha1|1518, mRNA_1518, prediction","656","2510","566","1478","1729","848","445","744","1060","2917","487","1210"
"RDEBH05154","jgi.p|Debha1|1519","Coatomer beta' subunit","., jgi.p|Debha1|1519, mRNA_1519, prediction","391","415","403","444","382","199","208","420","133","1715","584","769"
"RDEBH04244","jgi.p|Debha1|152","Arginine metabolism regulation protein II","., jgi.p|Debha1|152, mRNA_152, prediction","220","147","188","145","161","69","84","235","41","356","185","148"
"RDEBH05198","jgi.p|Debha1|1520","","., jgi.p|Debha1|1520, mRNA_1520, prediction","198","576","210","434","460","216","131","269","225","1076","306","470"
"RDEBH05214","jgi.p|Debha1|1521","LSU ribosomal protein L1P","., jgi.p|Debha1|1521, mRNA_1521, prediction","17459","35992","14854","23639","23715","9265","12798","10960","14503","13603","3418","5202"
"RDEBH05234","jgi.p|Debha1|1522","GTP-binding protein","., jgi.p|Debha1|1522, mRNA_1522, prediction","250","352","359","327","316","167","182","249","102","652","207","236"
"RDEBH05279","jgi.p|Debha1|1523","GTP-binding protein SAR1 (EC 3.6.5.-)","., jgi.p|Debha1|1523, mRNA_1523, prediction","21989","18268","23394","11046","13799","6247","12078","22602","4072","9868","7273","5148"
"RDEBH05300","jgi.p|Debha1|1524","","., jgi.p|Debha1|1524, mRNA_1524, prediction","2960","2462","2795","2011","2382","1088","1547","3258","520","2104","1109","1241"
"RDEBH05313","jgi.p|Debha1|1525","Hypothetical protein","., jgi.p|Debha1|1525, mRNA_1525, prediction","37","43","22","59","51","30","29","49","15","436","171","166"
"RDEBH05325","jgi.p|Debha1|1526","","., jgi.p|Debha1|1526, mRNA_1526, prediction","183","209","221","174","200","80","152","140","88","769","220","354"
"RDEBH05345","jgi.p|Debha1|1527","Fe-S OXIDOREDUCTASE (EC 1.8.-.-)","., jgi.p|Debha1|1527, mRNA_1527, prediction","242","348","291","231","250","106","141","213","105","486","180","253"
"RDEBH05389","jgi.p|Debha1|1528","","., jgi.p|Debha1|1528, mRNA_1528, prediction","469","831","470","850","892","385","279","508","378","2879","679","1163"
